"Gioco","Piattaforma","VotoMetacritic","UserScore","Genre","Players"
DYNAMITE FISHING - WORLD GAMES,PS4,-1,-1,Action,
DAMNATION,PS3,36,30,Action,Up to 8 
DARK MIST,PS3,-1,-1,Action,
DARK VOID,PS3,59,59,Action,No Online Multiplayer
DARKSTALKERS RESURRECTION,PS3,80,74,Action,Up to 8 
DAYTONA USA,PS3,71,70,Driving,
DE BLOB 2,PS3,74,72,Action,
DEAD ISLAND: RIPTIDE,PS3,62,59,Action,Up to 4 
DEAD OR ALIVE 5 LAST ROUND,PS3,-1,75,Action,Up to 16 
DEAD OR ALIVE 5 ULTIMATE,PS3,77,81,Action,Up to 16 
DEAD SPACE 3,PS3,76,64,Action,2 
DEADLY PREMONITION: DIRECTORS CUT,PS3,70,77,Action Adventure,No Online Multiplayer
DEATH TRACK: RESURRECTION,PS3,-1,-1,Simulation,Up to 8 
DECEPTION IV: BLOOD TIES,PS3,70,80,General,
DECEPTION IV: THE NIGHTMARE PRINCESS,PS3,-1,-1,Strategy,
.DETUNED,PS3,46,37,Action,1 Player
DEVIL MAY CRY 4,PS3,84,85,Action,No Online Multiplayer
DEVIL MAY CRY HD COLLECTION,PS3,74,89,Miscellaneous,No Online Multiplayer
DISGAEA 3: ABSENCE OF JUSTICE,PS3,78,82,Strategy,No Online Multiplayer
DISGAEA 4: A PROMISE UNFORGOTTEN,PS3,80,87,Strategy,No Online Multiplayer
DISGAEA D2: A BRIGHTER DARKNESS,PS3,74,81,Strategy,No Online Multiplayer
DISHONORED,PS3,89,79,Action Adventure,
DISNEY EPIC MICKEY: THE POWER OF TWO,PS3,59,42,Action,
DISNEY PIXAR BRAVE,PS3,71,62,Action Adventure,
DISNEY PIXAR CARS 2 THE VIDEOGAME,PS3,74,72,Driving,1-4 
DISNEY PIXAR TOY STORY MANIA!,PS3,-1,58,Miscellaneous,
DISNEY UNIVERSE ULTIMATE EDITION,PS3,70,69,Action Adventure,No Online Multiplayer
DON BRADMAN CRICKET 14,PS3,73,70,Alternative,2 
DOUBLE DRAGON NEON,PS3,71,72,Action,
DUKE NUKEM FOREVER,PS3,51,48,Action,Up to 8 
DYNASTY WARRIORS 6,PS3,59,72,Action,No Online Multiplayer
DYNASTY WARRIORS 6 EMPIRES,PS3,62,71,Action,No Online Multiplayer
DYNASTY WARRIORS 7,PS3,57,73,Action,2 
DYNASTY WARRIORS 7 EMPIRES,PS3,63,80,Action,
DYNASTY WARRIORS 7 XTREME LEGENDS,PS3,64,76,Action,2 
DYNASTY WARRIORS 8,PS3,68,81,Action,2 
DYNASTY WARRIORS 8: XTREME LEGENDS,PS3,68,70,Action,2 
DYNASTY WARRIORS: STRIKEFORCE,PS3,64,69,Action,Up to 4 
EARTH DEFENSE FORCE 4.1: THE SHADOW OF NEW DESPAIR,PS4,64,74,Action,Up to 4 
EARTH'S DAWN,PS4,68,68,Action,
ELECTRONIC SUPER JOY,PS4,-1,-1,Action,
ENIGMATIS 2: THE MISTS OF RAVENWOOD,PS4,-1,-1,Puzzle,No Online Multiplayer
ENIGMATIS: THE GHOSTS OF MAPLE CREEK,PS4,-1,68,Puzzle,No Online Multiplayer
ENTWINED,PS4,59,67,Action,
ESCAPE PLAN,PS4,73,67,Miscellaneous,
EVE: VALKYRIE - WARZONE,PS4,-1,58,Simulation,
EVENTIDE: SLAVIC FABLE,PS4,-1,-1,Puzzle,No Online Multiplayer
EVERYBODY'S GONE TO THE RAPTURE,PS4,78,65,Action,
EVERYBODY'S TENNIS,PS2,70,79,Sports,1-4 
EXILE'S END,PS4,63,63,Action,
EXIST ARCHIVE: THE OTHER SIDE OF THE SKY,PS4,69,70,Role-Playing,No Online Multiplayer
EXTREME EXORCISM,PS4,74,63,Action,
EAT THEM!,PS3,65,72,Action,
ECHOCHROME,PS3,81,73,Miscellaneous,1 Player
ELEFUNK,PS3,70,61,Action,2  Online
ETHAN: METEOR HUNTER,PS3,-1,-1,Action,
EUFLORIA,PS3,73,75,Strategy,
EVERYBODY'S GOLF,PS4,78,75,Traditional,Up to 20 
EVERYBODY'S GOLF: WORLD TOUR,PS3,81,83,Sports,44  Online
F1 2015,PS4,65,64,Racing,Up to 16 
F1 2016,PS4,82,79,Racing,Up to 22 
F1 2017,PS4,86,75,Racing,Up to 20 
F1 2019,PS4,84,76,Racing,Up to 20 
FAIRY FENCER F ADVENT DARK FORCE,PS4,71,69,Role-Playing,No Online Multiplayer
FALLOUT 4,PS4,87,67,General,No Online Multiplayer
FANTAVISION,PS2,72,66,Miscellaneous,1-2 
FARMING SIMULATOR 15,PS4,54,55,Simulation,Up to 6 
FARMING SIMULATOR 17,PS4,69,69,Simulation,Up to 6 
FARMING SIMULATOR 19,PS4,64,49,Simulation,Up to 6 
FAT PRINCESS ADVENTURES,PS4,63,73,Action,Up to 4 
FLUSTER CLUCK,PS4,37,41,Action,
FOR HONOR,PS4,78,61,Action Adventure,Up to 8 
FORBIDDEN SIREN,PS2,72,80,Action Adventure,1 Player
F.E.A.R. FIRST ENCOUNTER ASSAULT RECON,PS3,72,76,Action,16  Online
F1 2014,PS3,62,40,Driving,Up to 16 
F1 RACE STARS,PS3,61,58,Driving,Up to 12 
FAERY : LEGENDS OF AVALON,PS3,57,67,Role-Playing,
FALLOUT 3,PS3,90,79,Role-Playing,No Online Multiplayer
FALLOUT: NEW VEGAS,PS3,82,80,Role-Playing,No Online Multiplayer
FIGHTING VIPERS,PS3,-1,68,Action,Up to 6 
FINAL EXAM,PS3,60,40,Action,
FINAL FIGHT: DOUBLE IMPACT,PS3,79,70,Action,
FLOW,PS3,71,69,Miscellaneous,1-2 
FLOWER,PS3,87,85,Miscellaneous,1 Player
FROGGER RETURNS,PS3,44,33,Action,
GAL*GUN: DOUBLE PEACE,PS4,64,69,Action,
GAROU: MARK OF THE WOLVES,PS4,-1,67,Action,
GEM SMASHERS,PS4,-1,-1,Puzzle,
GET EVEN,PS4,71,74,Modern,
GIANA SISTERS: TWISTED DREAMS - DIRECTOR'S CUT,PS4,80,73,Action,
GOD EATER 2: RAGE BURST,PS4,69,73,Role-Playing,Up to 4 
GOD OF WAR® III REMASTERED,PS4,81,81,Action Adventure,No Online Multiplayer
GRAND AGES: MEDIEVAL,PS4,64,65,Strategy,Up to 8 
GRAND KINGDOM,PS4,78,73,Strategy,Online Multiplayer
GRAVITY RUSH REMASTERED,PS4,80,81,Action,No Online Multiplayer
GRAVITY RUSH 2,PS4,80,80,Action,No Online Multiplayer
GRIM FANDANGO REMASTERED,PS4,80,77,General,No Online Multiplayer
GRIM LEGENDS: THE FORSAKEN BRIDE,PS4,-1,-1,Puzzle,
GUILTY GEAR XRD -REVELATOR-,PS4,86,80,Action,Up to 64 
GENJI: DAYS OF THE BLADE,PS3,55,58,Action Adventure,No Online Multiplayer
G-FORCE,PS3,68,75,Action,
GO! PUZZLE,PS3,62,-1,Miscellaneous,4  Online
GOD OF WAR,PS2,94,89,Action Adventure,1 Player
GOD OF WAR II,PS2,93,89,Action Adventure,1 Player
GOD OF WAR: ASCENSION,PS3,80,76,Action Adventure,Up to 8 
